,name,degree_all,degree_in,degree_out,clustering_coefficient,clustering_coefficient_weighted,degree_centrality_all,degree_centrality_in,degree_centrality_out,betweenness_centrality,closeness_centrality,eigenvector_centrality,page_rank,assortative_coefficient,average_path_length,community_random_walk,module,connectivity,participation,role,cluster
AT2G41312,AT2G41312,1,1,0,0.0,0.0,0.000547645125958379,0.000547645125958379,0.0,0,2.99751026797142e-07,0.00026472885414495896,0.000418934458755171,-0.153157349272886,3.16341309667396,228,4,-0.522137068246808,0.0,Ultra peripheral,Elongation_Xylem
AT2G34150,SCAR1,1,1,0,0.0,0.0,0.000547645125958379,0.000547645125958379,0.0,0,2.99751026797142e-07,0.0059515820559636,0.000414991558059637,-0.153157349272886,3.16341309667396,229,4,-0.522137068246808,0.0,Ultra peripheral,Elongation_Xylem
AT4G29680,AT4G29680,1,1,0,0.0,0.0,0.000547645125958379,0.000547645125958379,0.0,0,2.99751026797142e-07,0.00195082317310954,0.000415596875513917,-0.153157349272886,3.16341309667396,230,4,-0.522137068246808,0.0,Ultra peripheral,Elongation_Xylem
AT5G06480,AT5G06480,1,1,0,0.0,0.0,0.000547645125958379,0.000547645125958379,0.0,0,2.99751026797142e-07,0.000579637241735388,0.000416126734929269,-0.153157349272886,3.16341309667396,231,3,-0.6864765674824521,0.0,Ultra peripheral,Elongation_Xylem
AT2G28290,SYD,1,1,0,0.0,0.0,0.000547645125958379,0.000547645125958379,0.0,0,2.99751026797142e-07,0.00013608826415483302,0.000421942932112576,-0.153157349272886,3.16341309667396,232,5,-0.8369574997616009,0.0,Ultra peripheral,Elongation_Xylem
AT4G20380,LSD1,1,1,0,0.0,0.0,0.000547645125958379,0.000547645125958379,0.0,0,2.99751026797142e-07,0.000262411866599176,0.000418897325045669,-0.153157349272886,3.16341309667396,233,4,-0.522137068246808,0.0,Ultra peripheral,Elongation_Xylem
AT3G23080,AT3G23080,1,1,0,0.0,0.0,0.000547645125958379,0.000547645125958379,0.0,0,2.99751026797142e-07,0.000752087839848053,0.000416460696499599,-0.153157349272886,3.16341309667396,234,4,-0.522137068246808,0.0,Ultra peripheral,Elongation_Xylem
AT3G43240,ARID4,1,1,0,0.0,0.0,0.000547645125958379,0.000547645125958379,0.0,0,2.99751026797142e-07,0.000946292072970909,0.000416347975080685,-0.153157349272886,3.16341309667396,235,4,-0.522137068246808,0.0,Ultra peripheral,Elongation_Xylem
AT5G18550,AT5G18550,1,1,0,0.0,0.0,0.000547645125958379,0.000547645125958379,0.0,0,2.99751026797142e-07,0.00046362189371366796,0.00041724562908579,-0.153157349272886,3.16341309667396,236,5,-0.8369574997616009,0.0,Ultra peripheral,Elongation_Xylem
AT1G65590,HEXO3,1,1,0,0.0,0.0,0.000547645125958379,0.000547645125958379,0.0,0,2.99751026797142e-07,0.00588502748186706,0.000414988205110737,-0.153157349272886,3.16341309667396,237,4,-0.522137068246808,0.0,Ultra peripheral,Elongation_Xylem
