,name,degree_all,degree_in,degree_out,clustering_coefficient,clustering_coefficient_weighted,degree_centrality_all,degree_centrality_in,degree_centrality_out,betweenness_centrality,closeness_centrality,eigenvector_centrality,page_rank,assortative_coefficient,average_path_length,community_random_walk,module,connectivity,participation,role,cluster
AT5G58010,BHLH82,4,0,4,0.0,0.0,0.00288600288600289,0.0,0.00288600288600289,0,5.216935663716751e-07,0.00483239371007565,0.00048705647233209697,-0.143316559785017,3.08414736705913,455,1,-0.837339617703007,0.375,Peripheral,Maturation_Pericycle
AT2G01940,SGR5,15,0,15,0.00952380952380952,0.0111608101308966,0.0108225108225108,0.0,0.0108225108225108,0,5.41275925277118e-07,0.0175642646973732,0.00048705647233209697,-0.143316559785017,3.08414736705913,456,1,-0.24969815631880898,0.24,Peripheral,Maturation_Pericycle
AT3G16280,AT3G16280,5,0,5,0.0,0.0,0.00360750360750361,0.0,0.00360750360750361,0,5.22071324698086e-07,0.0048182162152028895,0.00048705647233209697,-0.143316559785017,3.08414736705913,457,1,-0.7785754715645871,0.32,Peripheral,Maturation_Pericycle
AT4G24470,ZIM,5,0,5,0.0,0.0,0.00360750360750361,0.0,0.00360750360750361,0,5.220713269777971e-07,0.00547571214791423,0.00048705647233209697,-0.143316559785017,3.08414736705913,458,1,-0.719811325426168,0.0,Ultra peripheral,Maturation_Pericycle
AT5G06839,TGA10,4,0,4,0.0,0.0,0.00288600288600289,0.0,0.00288600288600289,0,5.21693566752765e-07,0.00541703293383642,0.00048705647233209697,-0.143316559785017,3.08414736705913,459,1,-0.7785754715645871,0.0,Ultra peripheral,Maturation_Pericycle
AT3G60390,HAT3,2,0,2,0.0,0.0,0.00144300144300144,0.0,0.00144300144300144,0,5.20939681014272e-07,0.0047448530709070895,0.00048705647233209697,-0.143316559785017,3.08414736705913,460,1,-0.896103763841427,0.0,Ultra peripheral,Maturation_Pericycle
AT2G21240,BPC4,4,0,4,0.0,0.0,0.00288600288600289,0.0,0.00288600288600289,0,5.216935650459699e-07,0.0040642244196186705,0.00048705647233209697,-0.143316559785017,3.08414736705913,461,1,-0.837339617703007,0.375,Peripheral,Maturation_Pericycle
AT1G76580,AT1G76580,4,0,4,0.0,0.0,0.00288600288600289,0.0,0.00288600288600289,0,5.220713198727761e-07,0.00269012253141676,0.00048705647233209697,-0.143316559785017,3.08414736705913,462,4,-0.75,0.625,Connector,Maturation_Pericycle
AT3G17730,anac057,8,0,8,0.0,0.0,0.00577200577200577,0.0,0.00577200577200577,0,5.23207898395174e-07,0.0112311846824618,0.00048705647233209697,-0.143316559785017,3.08414736705913,463,1,-0.6610471792877479,0.375,Peripheral,Maturation_Pericycle
AT1G19040,AT1G19040,7,0,7,0.0,0.0,0.00505050505050505,0.0,0.00505050505050505,0,5.228284944338e-07,0.0100487454887603,0.00048705647233209697,-0.143316559785017,3.08414736705913,464,1,-0.6610471792877479,0.24489795918367396,Peripheral,Maturation_Pericycle
AT4G37730,AtbZIP7,4,3,1,0.166666666666667,0.148071951971318,0.00288600288600289,0.00216450216450216,0.0007215007215007219,22,5.20563556491442e-07,0.00384266356581023,0.000504146123277025,-0.143316559785017,3.08414736705913,465,1,-0.896103763841427,0.625,Connector,Maturation_Pericycle
AT4G27900,AT4G27900,11,0,11,0.0,0.0,0.007936507936507941,0.0,0.007936507936507941,0,5.24349430356997e-07,0.0135756121055922,0.00048705647233209697,-0.143316559785017,3.08414736705913,466,1,-0.602283033149328,0.462809917355372,Peripheral,Maturation_Pericycle
AT1G32150,BZIP68,2,0,2,0.0,0.0,0.00144300144300144,0.0,0.00144300144300144,0,5.209396815041121e-07,0.00202797617639085,0.00048705647233209697,-0.143316559785017,3.08414736705913,467,0,-0.644864537569826,0.5,Peripheral,Maturation_Pericycle
AT1G70510,KNAT2,3,0,3,0.0,0.0,0.00216450216450216,0.0,0.00216450216450216,0,5.21316352428646e-07,0.00323632893058873,0.00048705647233209697,-0.143316559785017,3.08414736705913,468,1,-0.837339617703007,0.0,Ultra peripheral,Maturation_Pericycle
AT1G22810,ERF019,9,0,9,0.0277777777777778,0.027117950116929003,0.00649350649350649,0.0,0.00649350649350649,0,1.255975173355e-06,0.0118173344120725,0.00048705647233209697,-0.143316559785017,3.08414736705913,469,1,-0.6610471792877479,0.444444444444444,Peripheral,Maturation_Pericycle
AT3G54990,SMZ,2,0,2,0.0,0.0,0.00144300144300144,0.0,0.00144300144300144,0,5.20939682699651e-07,0.0018570380256115399,0.00048705647233209697,-0.143316559785017,3.08414736705913,470,0,-0.644864537569826,0.5,Peripheral,Maturation_Pericycle
AT5G60200,DOF5.3,13,6,7,0.0512820512820513,0.08455012253100701,0.00937950937950938,0.00432900432900433,0.00505050505050505,667,1.25378697769162e-06,0.00738489796248423,0.0005454633260782019,-0.143316559785017,3.08414736705913,471,0,-0.34052660634333404,0.652777777777778,Connector,Maturation_Pericycle
AT4G36730,GBF1,1,0,1,0.0,0.0,0.0007215007215007219,0.0,0.0007215007215007219,0,5.20563556587233e-07,0.00174056657133208,0.00048705647233209697,-0.143316559785017,3.08414736705913,472,1,-0.954867909979847,0.0,Ultra peripheral,Maturation_Pericycle
AT2G23290,AtMYB70,4,0,4,0.0,0.0,0.00288600288600289,0.0,0.00288600288600289,0,5.216935669757811e-07,0.00407775886265825,0.00048705647233209697,-0.143316559785017,3.08414736705913,473,1,-0.837339617703007,0.375,Peripheral,Maturation_Pericycle
