,name,degree_all,degree_in,degree_out,clustering_coefficient,clustering_coefficient_weighted,degree_centrality_all,degree_centrality_in,degree_centrality_out,betweenness_centrality,closeness_centrality,eigenvector_centrality,page_rank,assortative_coefficient,average_path_length,community_random_walk,module,connectivity,participation,role,cluster
AT1G08970,NFYC9,1,0,1,0.0,0.0,0.000448229493500672,0.0,0.000448229493500672,0,2.0090971878786897e-07,0.00147586809866655,0.000340682712795526,-0.20193775556896,3.67023853785492,143,0,-0.570788939130027,0.0,Ultra peripheral,Proliferation Domain_Cortex
AT1G72830,HAP2C,1,0,1,0.0,0.0,0.000448229493500672,0.0,0.000448229493500672,0,2.00909718788634e-07,0.0014731840332472901,0.000340682712795526,-0.20193775556896,3.67023853785492,144,0,-0.570788939130027,0.0,Ultra peripheral,Proliferation Domain_Cortex
AT3G25730,ARF14,2,0,2,0.0,0.0,0.000896458987001345,0.0,0.000896458987001345,0,2.0099985293521602e-07,0.0008939781767043509,0.000340682712795526,-0.20193775556896,3.67023853785492,145,1,-0.36967919623206397,0.5,Peripheral,Proliferation Domain_Cortex
AT3G57230,AGL16,3,0,3,0.0,0.0,0.0013446884805020198,0.0,0.0013446884805020198,0,2.01090067889683e-07,0.005368807322180221,0.000340682712795526,-0.20193775556896,3.67023853785492,11,3,-0.8320066566005,0.444444444444445,Peripheral,Proliferation Domain_Cortex
AT2G40740,WRKY55,1,0,1,0.0,0.0,0.000448229493500672,0.0,0.000448229493500672,0,2.0090971879114e-07,0.0020124930822527603,0.000340682712795526,-0.20193775556896,3.67023853785492,146,3,-0.914380996592915,0.0,Ultra peripheral,Proliferation Domain_Cortex
AT3G49690,RAX3,1,0,1,0.0,0.0,0.000448229493500672,0.0,0.000448229493500672,0,2.0090971879145898e-07,0.0013112796340744302,0.000340682712795526,-0.20193775556896,3.67023853785492,147,3,-0.914380996592915,0.0,Ultra peripheral,Proliferation Domain_Cortex
AT5G55020,ATMYB120,1,0,1,0.0,0.0,0.000448229493500672,0.0,0.000448229493500672,0,2.0090971879322698e-07,0.000637956405928995,0.000340682712795526,-0.20193775556896,3.67023853785492,148,3,-0.914380996592915,0.0,Ultra peripheral,Proliferation Domain_Cortex
AT1G63650,BHLH2,5,0,5,0.1,0.102786434166014,0.00224114746750336,0.0,0.00224114746750336,0,2.07805415136272e-07,0.0056363339755614705,0.000340682712795526,-0.20193775556896,3.67023853785492,25,1,-0.229746398526001,0.56,Peripheral,Proliferation Domain_Cortex
AT1G14350,MYB124,1,0,1,0.0,0.0,0.000448229493500672,0.0,0.000448229493500672,0,2.0090971879413397e-07,7.05653648354827e-05,0.000340682712795526,-0.20193775556896,3.67023853785492,149,3,-0.914380996592915,0.0,Ultra peripheral,Proliferation Domain_Cortex
AT3G06590,BHLH148,2,0,2,0.0,0.0,0.000896458987001345,0.0,0.000896458987001345,0,2.0099985292436603e-07,0.0006587299728654089,0.000340682712795526,-0.20193775556896,3.67023853785492,150,2,-0.700831035621452,0.5,Peripheral,Proliferation Domain_Cortex
